Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,1279.30,1295.70,1269.05,1275.00,1280.164161939827839469,987799,24092,1264544879.00,580124,58.73,26.65,-4.30
27-March-2025,1275.05,1285.15,1272.05,1278.40,1279.554704909783624469,278220,6731,355997710.00,169525,60.93,13.10,3.35
26-March-2025,1290.25,1293.95,1269.00,1272.55,1281.415762508221348316,658347,9779,843616223.00,507412,77.07,24.95,-17.70
25-March-2025,1307.00,1307.00,1283.00,1285.40,1289.392359523050554608,865836,23947,1116402323.00,504707,58.29,24.00,-21.60
24-March-2025,1286.40,1305.30,1281.00,1301.35,1298.036675321781057719,861533,26632,1118301431.00,514147,59.68,24.30,14.95
21-March-2025,1270.05,1284.50,1270.05,1276.45,1277.136476989972294415,361299,10045,461428132.00,242342,67.08,14.45,6.40
20-March-2025,1254.20,1272.80,1250.00,1268.55,1261.588466014536634571,612659,17892,772923528.00,321354,52.45,22.80,14.35
19-March-2025,1242.00,1252.75,1239.35,1247.70,1246.888808026375471353,295426,8359,368363373.00,183948,62.27,13.40,5.70
18-March-2025,1243.50,1248.10,1234.90,1238.80,1238.456917397986297631,1740575,25103,2155627149.00,1525304,87.63,13.20,-4.70
17-March-2025,1247.00,1257.20,1233.25,1240.40,1239.777079297956828270,422823,11009,524206264.00,277758,65.69,23.95,-6.60
13-March-2025,1262.90,1264.00,1244.00,1247.40,1255.740689258970667864,302876,10747,380333717.00,207479,68.50,20.00,-15.50
12-March-2025,1256.85,1261.55,1244.00,1256.60,1251.686393822176453615,426299,14460,533592658.00,201685,47.31,17.55,-0.25
11-March-2025,1238.05,1249.55,1230.00,1247.40,1242.288865573684761008,305952,10643,380080763.00,133832,43.74,19.55,9.35
10-March-2025,1249.10,1258.00,1235.50,1238.20,1245.580453416123728668,245117,17180,305312944.00,106701,43.53,22.50,-10.90
7-March-2025,1214.05,1254.50,1212.30,1249.10,1242.176719874977665595,794738,28260,987205042.00,444042,55.87,42.20,35.05
6-March-2025,1201.00,1214.00,1185.50,1210.55,1198.266593605346249348,652420,22915,781773091.00,276249,42.34,28.50,9.55
5-March-2025,1162.00,1183.05,1158.00,1175.75,1174.984811797108101904,348560,9063,409552706.00,219322,62.92,25.05,13.75
4-March-2025,1165.00,1174.10,1159.25,1161.70,1166.179017941190826494,286826,12205,334490463.00,153095,53.38,14.85,-3.30
3-March-2025,1209.80,1209.80,1156.00,1171.10,1168.845127441256825564,542446,22541,634035364.00,278021,51.25,53.80,-38.70
28-February-2025,1201.00,1217.40,1193.30,1199.60,1207.915593525508618641,437656,10691,528651507.00,205915,47.05,24.10,-1.40
27-February-2025,1213.55,1215.00,1201.00,1207.05,1206.540881935744385657,193166,7039,233062676.00,95996,49.70,14.00,-6.50
25-February-2025,1213.95,1221.00,1201.00,1203.90,1210.142093545749317534,881729,30015,1067017378.00,368863,41.83,20.00,-10.05
24-February-2025,1219.40,1223.00,1210.60,1214.75,1215.501608309985771433,477209,19133,580048307.00,342854,71.85,12.40,-4.65
21-February-2025,1229.95,1239.95,1222.35,1227.70,1226.877171274662870528,907589,12448,1113500225.00,703875,77.55,17.60,-2.25
20-February-2025,1226.25,1239.40,1223.00,1233.05,1235.400020362451639177,206262,6415,254816079.00,134142,65.03,16.40,6.80
19-February-2025,1222.75,1232.80,1217.60,1226.95,1226.458523129412191713,110206,3823,135163088.00,41958,38.07,15.20,4.20
18-February-2025,1225.25,1229.95,1216.40,1224.95,1223.204760314256255354,206583,7437,252693309.00,103728,50.21,13.55,-0.30
17-February-2025,1215.75,1227.20,1205.15,1224.75,1219.267095948909321740,207944,7688,253539277.00,95627,45.99,22.05,9.00
14-February-2025,1220.00,1224.30,1206.00,1216.95,1211.931884584229490796,358010,10146,433883734.00,254865,71.19,18.30,-3.05
13-February-2025,1218.95,1227.95,1212.15,1216.20,1221.104115073239530467,360188,13492,439827049.00,253457,70.37,15.80,-2.75
12-February-2025,1219.95,1227.85,1193.65,1215.70,1212.182228759242941525,596942,15931,723602484.00,384776,64.46,34.20,-4.25
11-February-2025,1263.05,1263.40,1230.00,1234.60,1245.245369052038914741,554854,18420,690929374.00,273795,49.35,33.40,-28.45
10-February-2025,1263.80,1266.00,1245.85,1253.40,1250.837606156866740139,539885,17004,675308461.00,335346,62.11,20.15,-10.40
7-February-2025,1266.45,1284.75,1262.00,1266.85,1270.871824886807847989,375026,11068,476609977.00,203512,54.27,22.75,0.40
6-February-2025,1276.60,1287.35,1270.80,1281.55,1279.455840117876229958,160168,8148,204927883.00,82301,51.38,16.55,4.95
5-February-2025,1284.95,1290.00,1276.15,1278.05,1282.868398706593561085,355650,17635,456252146.00,193489,54.40,13.85,-6.90
4-February-2025,1247.05,1289.00,1246.65,1286.00,1271.089281805762762181,397483,16736,505236381.00,122992,30.94,42.35,38.95
3-February-2025,1250.00,1255.90,1238.00,1245.15,1246.858059376788248669,396687,14790,494612383.00,138583,34.94,17.90,-4.85
1-February-2025,1265.00,1269.95,1241.50,1264.65,1259.466274877957191137,266300,6933,335395869.00,110062,41.33,28.45,-0.35
31-January-2025,1257.40,1266.00,1249.50,1264.90,1259.842006556709723847,412707,15527,519945615.00,179377,43.46,16.50,7.50
30-January-2025,1235.00,1256.60,1232.25,1253.60,1248.530683858685070203,462230,19739,577108338.00,222028,48.03,24.35,18.60
29-January-2025,1237.30,1242.75,1228.45,1235.80,1237.272652646391994371,358148,9956,443126726.00,271131,75.70,14.30,-1.50
28-January-2025,1236.60,1244.15,1218.90,1233.80,1231.758362158897490803,364260,11455,448680301.00,122462,33.62,25.25,-2.80
27-January-2025,1239.90,1240.45,1220.05,1229.30,1230.053655041771905964,411760,14577,506486893.00,249385,60.57,20.40,-10.60
24-January-2025,1266.90,1273.10,1244.00,1245.90,1256.500927350933270194,430797,18085,541296830.00,225225,52.28,29.10,-21.00
23-January-2025,1274.75,1277.25,1261.55,1263.85,1268.112514814641751164,235409,22143,298525099.00,112565,47.82,15.70,-10.90
22-January-2025,1279.00,1282.90,1268.80,1277.30,1275.500231216288528855,2201402,8346,2807888760.00,2072623,94.15,14.10,-1.70
21-January-2025,1310.00,1312.85,1269.55,1272.95,1284.709936156924429229,1210468,35609,1555100267.00,332478,27.47,43.30,-37.05
20-January-2025,1319.35,1319.35,1300.55,1305.00,1308.439047045030466156,242236,9199,316951041.00,140541,58.02,18.80,-14.35
17-January-2025,1325.10,1325.10,1284.70,1301.30,1299.169736874259857720,1514067,40776,1967030026.00,682738,45.09,40.40,-23.80
16-January-2025,1260.20,1275.00,1251.40,1268.70,1262.077248442242354160,391749,20064,494417500.00,200853,51.27,23.60,8.50
15-January-2025,1247.00,1256.75,1242.15,1252.30,1249.580652575930124434,287139,7455,358803339.00,151615,52.80,14.60,5.30
14-January-2025,1240.00,1255.05,1227.30,1238.55,1237.155901573792798868,837785,25971,1036470657.00,395923,47.26,27.75,-1.45
13-January-2025,1230.00,1245.15,1225.60,1240.05,1238.064344145989364196,810470,31209,1003414009.00,430361,53.10,19.55,10.05
10-January-2025,1255.90,1256.70,1236.15,1242.35,1245.449813724095224162,498991,23764,621468248.00,258853,51.88,20.55,-13.55
9-January-2025,1267.90,1269.40,1248.00,1255.00,1257.336359729031718199,262909,14250,330565045.00,102173,38.86,21.40,-12.90
8-January-2025,1251.20,1270.70,1245.00,1264.70,1262.699179967253117076,881916,40907,1113594610.00,464990,52.72,25.70,13.50
7-January-2025,1221.65,1243.40,1221.40,1240.90,1237.232983827972276523,512057,19553,633533810.00,223521,43.65,22.00,19.25
6-January-2025,1251.55,1261.70,1215.30,1218.20,1236.427588225370257710,782428,36480,967415565.00,356958,45.62,46.40,-33.35
3-January-2025,1247.75,1262.30,1235.60,1251.35,1249.607848556855804889,502895,17855,628421539.00,209951,41.75,26.70,3.60
2-January-2025,1220.70,1244.50,1220.25,1241.65,1233.387603374506750525,529144,22760,652639650.00,230658,43.59,24.25,20.95
1-January-2025,1218.95,1226.20,1212.10,1221.65,1219.522985679155214812,380215,14712,463680932.00,152058,39.99,14.10,2.70
31-December-2024,1210.40,1219.05,1206.40,1215.45,1212.352471378470487072,444246,18373,538582736.00,269992,60.78,12.65,5.05
30-December-2024,1219.65,1223.35,1208.65,1210.90,1216.792257641865849159,314452,9829,382622759.00,200898,63.89,14.70,-8.75
27-December-2024,1216.65,1227.60,1216.65,1220.95,1223.092326278621804785,653086,20945,798784475.00,369196,56.53,10.95,4.30
26-December-2024,1224.65,1228.00,1214.45,1216.60,1221.963778537890418091,556935,22877,680554397.00,373984,67.15,13.55,-8.05
